,BICCN2_gene_celltype_1_EX,BICCN2_gene_celltype_2_IN,BICCN2_gene_celltype_0_NN,GSE111586_gene_celltype_1_EX,GSE111586_gene_celltype_2_IN,GSE111586_gene_celltype_0_NN,GSE123576_gene_celltype_1_EX,GSE123576_gene_celltype_2_IN,GSE123576_gene_celltype_0_NN,GSE126074_gene_celltype_1_EX,GSE126074_gene_celltype_2_IN,GSE126074_gene_celltype_0_NN,GSE127257_gene_celltype_1_EX,GSE127257_gene_celltype_2_IN,GSE127257_gene_celltype_0_NN,GSE1303990_gene_celltype_1_EX,GSE1303990_gene_celltype_2_IN,GSE1303990_gene_celltype_0_NN
4414,Dot1l,1700022I11Rik,Cltrn,Gm22668,Gm7358,Gm16463,Rhbdl1,Ankrd34a,Gm3739,Fkbp8,Zdhhc2,Dcun1d1,Sirpb1a,Krtap27-1,Edn1,BC028777,Cpa6,Olfr1472
4415,Atxn3,Bcdin3d,Srms,Fa2h,Ints13,Gm10143,P4htm,4930471C06Rik,Cdca5,Gsg1,Mettl27,Gm11341,Pnpla5,Olfr981,Gprc6a,Ralgps1,Sh3pxd2a,Gm42470
4416,Gm43218,Gm48426,Vmn1r82,Mff,AC121875.1,9230110F11Rik,Rbsn,Zfp873,AC100212.3,Cradd,2900005J15Rik,Zfp383,Taar2,Olfr1387,Nefh,9330160F10Rik,Gm25459,Gm26627
4417,Gm27781,Mir6347,Gm9569,Gm43718,Gm31630,Surf2,Gm47972,1700083H02Rik,Gm19035,Map1lc3a,Nnmt,Gm14222,Olfr148,Lrcol1,Cd3eap,Ddx55,Tmem255b,n-R5s69
4418,Gm35202,Zfp143,Vmn2r110,Gm30075,Rps15a-ps3,Gm47443,Npc1l1,Nfic,Il1rn,Gm47080,Cnn3,Eral1,Vmn2r76,Gm21190,Mrpl51,Gpr25,Gm21673,Gm24572
4419,Il15ra,Zfp395,Acads,Kcnk6,Gm42910,Gm42768,Psmg1,Eci2,Gm24286,Slc26a9,Sel1l,Fmr1os,Tubal3,Fabp6,Vps35,Particl,Gm47371,Gm10064
4420,Ankrd34b,Ube4b,Sbsn,Gm48252,AU023070,Gm12225,Bicd1,Klhl20,Igkv5-43,Gm22814,Krt40,4833427G06Rik,Rtl6,Snrpd2,Fam124b,Srsf2,Gm47634,Gm3978
4421,Sipa1l2,AC148017.1,Gm27747,Gm37700,Kcnc1,Olfr1148,Gng7,4930581F22Rik,Vnn3,Rpl38-ps1,Gm36980,Srsf10,Slc52a2,Pate10,Rdh1,Gm13200,Gm9299,Mrpl20
4422,Nr4a1,Gm43282,Gm24297,Cybb,Myh10,Pigs,Olfr879-ps1,Terf2,Gm45677,Gm30684,Zfp239,Sbpl,Eid2b,Prss42,Dbx1,Ccdc103,Prpf39,Pmel
4423,Rps23,Acta2,Vmn2r-ps123,Nfia,Mir7018,2010106E10Rik,Yipf2,Rccd1,Gm42782,Smarcc1,Tmem219,2810032G03Rik,Olfr790,Hist1h1a,1110059G10Rik,Kif14,Lamb1,Gm49332
4424,Mcmdc2,Gm43870,Gm13433,Vapa,Agmo,Olfr758-ps1,Rhof,C1ql1,Gm43859,Ttc14,Gm22029,Alpk1,Olfr1347,2010003K11Rik,Hba-a2,Gm18960,Slc25a2,Gm37174
4425,Gm36953,6330576A10Rik,Crb1-ps,Zbed3,Fam126b,Msrb1,Gm26807,Lix1l,Gm26733,Espnl,Gm45167,Nxt2,Olfr197,Dnaaf1,Oxt,Gm35986,Wnt11,Mfsd12
4426,Tgs1,Nceh1,Ms4a4d,Gm2076,Rab11a,Gm45184,Gm13781,Enpp4,Gm4202,Gm48774,Atp5h,4930447C11Rik,Ubtfl1,Myf5,Defb50,Gm20109,Gm38002,Gm40020
4427,Tmem39b,Gm42989,2210011C24Rik,Prickle2,Gm47091,A330069E16Rik,March3,Sars2,Dgkeos,Dctn6,Wt1,Gm15417,Olfr597,Speer4d,Slfn14,Gm4705,Cyp2c54,Olfr1508
4428,AC157519.1,B3gat1,Gm26019,Slc2a13,Lipm,Igll1,Mir7211,Gm10463,Mir6924,Gm37960,2010110G14Rik,A930009A15Rik,Fam90a1a,Atp5md,Chchd4,Zfp949,Gm5784,Pex14
4429,Lclat1,Gm45830,Gm3143,Sftpa1,C230024C17Rik,Prrg1,Hsp90ab1,Camk1,Gm4982,Gm48967,Gm7380,Lsm8,Tgm5,Ifi204,Spin4,Gm49566,Psmg4,Gm44855
4430,Mrps9,1810026B05Rik,Gm26131,Gm23432,Gm49768,Gm6943,Ccdc57,Cfap53,Mir103-1,Fbxo27,Gm23473,Gm47390,2310009B15Rik,Ssxb5,Ppp2r5b,Gm24517,Gm38019,Gm24443
4431,Gm37047,Reep4,Hmgb1-ps5,Gm20164,Gm8679,Fen1,Gm12299,Sdcbp,Gm23366,Arhgap17,Pdpr,1700066B17Rik,Hoxc11,Bloc1s3,Srp54b,Stc1,Gm11781,9930014A18Rik
4432,Gm2638,Gm38097,Gm32816,Dsc1,Myh7,Tbrg1,Cbln2,Nsf,Gm45155,Gm47253,Gm3235,Gm20420,4930402F06Rik,Serpini2,Krtap14,Gm18611,Grb14,5330439A09Rik
4433,Ndfip1,Tmem135,1700016F12Rik,Lepr,Tulp4,Gm21769,Hexdc,1700019P21Rik,Zcwpw1,Sort1,Gm27240,Gm47240,Syce1,1700021F07Rik,Pnma5,2010008C14Rik,Gm17142,Zbtb14
4434,Tnc,2310039L15Rik,Nox4,Ninj2,Csnka2ip,Ufl1,Gm11533,Gm4468,Mir6992,9530059O14Rik,Ccdc15,Gm14984,Olfr1087,Ofd1,Tbx21,Slc2a1,Gm37724,Ctsd
4435,Gm37163,Gm32126,Lpar4,Kcnb2,Gm23206,Fbxl18,Ier5,Gm43241,Gm29055,Ctnnb1,Pde1c,Gm20693,Hbb-y,Saysd1,Spint4,Ube2e1,Rps12-ps20,Mir5131
4436,Gm14774,2810442N19Rik,Gm20409,Gm24719,Trerf1,Gm5943,Gm7172,Kmt2d,Rpl27-ps3,Gm47055,Eno1,9330102E08Rik,Spam1,Dnajc15,Sycp3,Tm2d2,Gm15897,Gm37876
4437,Rpl27a-ps2,Gm25379,Gm18334,Gm25785,Gm28881,Olfr1426,Gm22203,D2hgdh,Gm47284,Ccdc142,Rad51d,Dtx3l,Iqcf4,Cldn34-ps,Efcab10,Prpf4b,Gm3052,Olfr1046
4438,Dync2h1,Tmf1,1810019N24Rik,Gm48842,AC154652.1,Rcor3,Bmp3,Diras1,Gm18247,Afdn,Gm42921,H2-K2,Khdc1c,F13b,Vmn2r120,Mir130c,Gm7517,Tmem42
4439,Tunar,Gm24001,Gm32996,Gm47544,Cilp,Olfr648,Dpp10,Atp10d,Gm25543,Jazf1,Lcmt2,Gm47010,Olfr974,Gulo,Ppp2r3c,Lynx1,Gm18461,Ceacam18
4440,Gm43273,Lrguk,AC141639.1,Gm47419,Gm16976,Gm27740,Itga9,Tmem205,Hoxd8,Gm48262,Rims1,Psme4,Spon2,Ppp1r14d,Il13,Gm18791,Btbd35f24,Lipa
4441,AC122536.1,Med10,Gm20399,Stxbp4,Marc2,Gm18709,Ethe1,Ddit4,Gm13997,Dmxl1,Rap1gapos,Gm25757,Lilrb4a,Emx2,Drd5,Trim54,Tcerg1l,Gm12230
4442,Ska3,Gm48008,Gm6726,Mylk4,Gm15532,Tm7sf2,Hmcn2,Rpl30-ps8,Mtdh,Apbb2,Nek4,4930551I23Rik,Krtap5-4,Moap1,Riok1,Stx2,Gm18396,Gm14860
4443,Tnfrsf21,Gm29598,Gm29442,Stim1,Slc1a4,Gm7029,Foxj2,Mir7676-2,Epcam,1700013F07Rik,Ehmt1,Sh2b2,C130079G13Rik,Dctpp1,Mettl7b,Gpr135,Gm15159,Gm10804
4444,Zer1,Gm38091,Ccdc77,Prss39,Gm44615,Gm3851,Vmp1,Mir6983,Gm19688,Gm38139,Ogdhl,Gm12852,Tmem102,Msh6,2410004P03Rik,Gm47847,Ccdc136,4833411C07Rik
4445,Cdc20b,C230096K16Rik,Lcn3,Dzip1l,Zc3h13,Zdhhc14,Sybu,Gm42538,Olfr66,Gm47906,Btf3l4,4930584E12Rik,H2-M10.2,Pgam2,Noc2l,Pbx2,Alpl,Otud5
4446,Gm47552,Gm36480,Prss33,Gm7596,Abhd12b,Gm26227,Gm34583,Rnpc3,Gm14968,Gm11969,Cox18,Pabpc6,Olfr102,Abcc2,Hoxb9,Slc18a1,Gm25834,A930007I19Rik
4447,Gm24552,Gm19169,BC035044,Obox4-ps23,Gnl2,Mir384,Gm9530,Gramd1b,Gm14665,Ptpn21,Hsdl1,Gm45289,Olfr1272,Samd15,Defb46,Ggt7,Ybx1-ps2,Snora16a
4448,Gm22281,P4htm,Olfr136,Sorcs3,Col20a1,Vsig1,Ssh3,Gm47896,Gm10719,Mnd1,Rpusd2,Prrg1,Gm8267,Ndufb3,Mansc4,Trex1,Atf7ip2,Gm13456
4449,Slfn2,Mfn2,Gm17025,Mir26a-2,Rttn,Gm26020,Gm44802,Irf2bp1,Gm25282,Ehbp1,Fam160b1,Gm45768,Ang5,Tex46,Efcab7,Syngr3,Cyp2j15-ps,Cilp
4450,Ddit4l,Gm47897,Pole,Cd247,Ube2f,Gm14824,Syne3,Josd2,Gm12369,Gabrg3,A930017M01Rik,Gm13620,Mcm4,Rgn,Il17f,Sars,Gm5055,Gm47781
4451,Sh3bgrl3,Gm25480,Gm24008,Gm38336,Topbp1,D17Wsu92e,Phf20,Msto1,Gm3558,Muc4,Gm38063,Zfp944,Olfr987,Ndufaf8,Klk1b16,Kdelr1,4930519E07Rik,Gm49076
4452,Pdcl,Ulk3,Hs3st6,Gm16510,Gm23598,n-R5s142,Ttbk1,Atp5e,Gm6556,Gm3619,Zdhhc18,Gm24674,Mplkip,Dpagt1,Klk1b22,Ppp4c,Gm5466,Tmtc3
4453,Mir1933,Mapkap1,Pnlip,Rpl17-ps9,Gm42752,AC166350.1,Gm28676,Atp6v0c,Gm42664,Decr2,Maged1,Gm18862,Rhag,Ccn5,Atp5md,Isx,Fnip2,Ly6c1
4454,Gm20125,Nfil3,Muc16,Gm49137,Gm44761,Gm43378,Adamts8,Mrpl40,Gm23923,Gns,Phf2,Gm30747,Svs3a,B3galnt1,Fscn2,Tmem109,Mansc4,Hmx2
4455,Gm25153,Gm18982,Fcer1g,Otoa,Gm28609,Gm15770,Aldh2,Tial1,9130409I23Rik,Slitrk5,Pdzd8,Proser2,Gm21761,D6Wsu163e,Btg1,Derl1,Aox4,Zbtb11os1
4456,Nmnat3,Rara,Gm47811,Gm45032,Rhot1,Gm43061,Cln6,Fam173a,Gm42478,Nrxn2,Lrrc17,Crip1,Alyref,Cmtm2a,Xpo5,Ppp2r3d,Gm2617,Snrnp70
4457,AC148019.3,Zfp354b,AC166164.1,Gm10558,Gm13685,Il2rg,Dgcr2,Arfip2,Gm7589,Urb1,Rbsn,Gm16191,Ncr1,Tmppe,Olfr685,Lurap1l,Mrgprb8,Eif4ebp3
4458,Ints8,Ndufa6,Cts3,1700019G24Rik,9930021J03Rik,Rpl13-ps5,Krt10,Tmem169,OR5BS1P,Tusc3,Notch4,5430405H02Rik,Pigw,Cyp2c37,Adipoq,Gm18256,AC154486.2,Cyb5a
4459,Arid3b,Gm35931,Gm13415,Gm7495,Mboat2,Mir698,Plekhn1,2700016F22Rik,Gm22817,Dhx38,Haus6,Gm49462,Gm10375,Amy2a5,Tagap1,Brat1,Gm29184,Gm49727
4460,Atp6v1h,Gm32486,Olfr138,Gm32351,Prim2,Gm48545,Tet3,Gpcpd1,Gm44292,Gm48609,Gm42837,Eif4e2,Defb18,Olfr1338,Mvb12b,Ncs1,Vmn2r-ps117,Ppp1r18os
4461,Ist1,Dzip3,Gm37191,Gm5787,Gm14121,Cd320,Gm12527,Gm37447,Gm49375,Gm14209,Gm25281,Gng11,Gkn2,Olfr206,Ifit1bl2,Kpna1,Papss2,Cutal
4462,Zfp711,Gm23151,Klra1,Ppcdc,Gm23746,Nsa2-ps2,Gm42738,Apol8,Gm43149,Zscan21,D1Ertd622e,Gm47712,Gm13276,Olfr1301,Chchd10,Gm38135,Btg4,Gm26090
4463,Fam3c,Rsph3a,Tex12,Arhgef1,Gm33758,Gm44011,Esam,Ecsit,Selenbp2,Ttc26,Map4k2,Cirbp,Sp6,Olfr742,Baat,Ddx41,Zfp286,Tmem248
4464,Gm16433,Idh3b,Gm28166,Ing3,2810404F17Rik,Gm19353,Gm47468,Enpp5,Ighv5-4,Trmt10c,Lmtk3,Gm26645,Prg2,Olfr491,Sox14,Tagln,AC164314.1,Rnu11
4465,Olfr1396,Anp32b-ps1,Vmn2r-ps121,Gm38060,Gm45768,E030030I06Rik,Gm10944,Axin2,Prpf4,Gm47261,Tsc22d1,Aldh1a2,Defb23,Gm14139,Cst7,Ptprt,Gm23605,AC127331.1
4466,Helt,Strip2,AI661453,Adamtsl3,Gm11874,Rnf208,Apol8,Mxd1,I830127L07Rik,4930519D14Rik,Elmod3,Daam1,Ern2,Cyp4a14,Zc3h12d,Gm45671,Gm47912,Tepsin
4467,Gm11633,Gm39119,Vmn1r225,Gm43960,Tmem26,Nono,Nlrc5,Spcs3,Gm48148,Otud1,1700025F24Rik,Evx2,4933402E13Rik,Psmd6,Odf3b,Klc4,Gm4904,Cdc45
4468,Rnf144a,Gm25554,Gm47685,Tex35,Plpp3,Prl4a1,Piezo2,Mb21d2,Mir710,Ghr,Fam117b,Gm12593,Aadac,Olfr597,Rpusd2,Ncam1,Gm12897,Itpkc
4469,Gm9921,Gm26153,Gm17153,Nipsnap1,Gm15578,BC053393,Slc16a2,Fam162a,Gm18596,1700069B07Rik,Gm16481,Gm26362,Apcs,Ubtfl1,Bst2,Pnpo,Rab27b,Atg9b
4470,Gm29050,Gm6503,Scn4a,Lkaaear1,Rps6ka5,Ston2,Nsmaf,Aimp2,Gm11620,Gm43105,6330576A10Rik,4930405A21Rik,Ak3,Tmem203,Proc,Gm24753,Gm44527,Eid1
4471,Map2k1,Eogt,Vmn2r-ps73,Slc35f2,Gm6112,Mcm2,Pomgnt2,Fbxw7,Zranb1,Mir5616,Srp72,Tk2,Gzma,Ubl5,Olfr535,Ndufa5,9130214F15Rik,Prkce
4472,Gm43623,Gm48748,Gm5790,Wsb2,Hadh,Gm14993,Vmac,Fbln5,Gm22193,A430005L14Rik,Gm45609,Gm2383,Noto,Vmn2r54,Cib3,Gm24158,Gm8204,Atp6v1d
4473,Gm25713,Gm37802,Olfr859,Rxfp1,Olfr549,Rnf215,Mccc2,AC151978.1,Gm8074,Spata31d1a,Gm10231,Gm17844,Dnaaf1,Olfr197,Med4,Gpc6,Gm48775,Gm48345
4474,1810046K07Rik,Abcg1,Gm10501,Gm21905,Trim43a,Fthl17b,2210016L21Rik,Faf2,2410021H03Rik,Col4a2,Dcun1d4,Slc39a1,Hoxc8,Ifnb1,Zfp429,Lamtor5,Capn2,Gm44511
4475,Gm7870,Arhgef3,Gm23927,Gm36951,Gm17834,Fam220-ps,1110038F14Rik,Nek1,Gm11918,Mael,Ncf1,Vcam1,Olfr273,Gzmc,Ubqln3,Gm47066,Gm18409,Gm15049
4476,Gm9984,Gm27782,Gm47161,Nbeal1,Gm14055,Gm23417,Ush1c,Gm26673,Gm27884,Gm48532,AC125381.1,Gm37742,Gstt4,Olfr1347,Olfr180,Mrpl4,Ankk1,AC134908.3
4477,Dnah7a,Rhbdd1,Ywhaq,Rps26,Gm7502,8030474K03Rik,Gm15507,Zfp454,Mir7025,1700120G07Rik,Mapk4,Gm20732,Lcmt2,Art2b,Olfr229,Fibp,Mep1a,Vmn2r-ps122
4478,Gm25389,Mir551b,Tgif2-ps2,Gm23330,Qser1,Mir3104,Suds3,Fam227b,Gm47986,Gm5608,Fam19a2,Gm38326,Spdye4b,Olfr790,Glrx5,A230050P20Rik,Gm49158,Olfr1215
4479,Swt1,Gm19195,Dpep2-1,Gm38137,Tmem222,Gm19791,Gm47297,Gm45804,n-R5s178,Hist1h3g,Cdc25a,Mir26a-1,Tnmd,Cyp26a1,Ppwd1,4930415C11Rik,Ighv1-10,Olfr634-ps1
4480,Ces1a,Grin1os,Bend7,Gm43226,Gm10466,Gm24752,D830035M03Rik,Kmt2b,Zfp647,Lix1l,Srbd1,1700025M24Rik,Klhl34,Olfr522,Gdf2,Kifc2,Gm14819,Gm14838
4481,Lct,Rps15a-ps3,Cdip1,Faxc,Nploc4,Pcdh7,Apeh,Hmgb1,Gm47049,Gm37839,4933402J15Rik,Micall1,Sohlh1,Olfr971,Lipm,Gm25140,Gm9198,Gm17622
4482,Gm9240,Ralgps2,Gm5460,Gm48886,Cd164l2,Gm23795,Ppt1,Gm11737,Olfr212,Psma5,AC138768.1,Gm45875,Gm14137,Olfr698,Cyp17a1,Cacna1d,Fam81b,Gm16342
4483,Cacng3,Galnt1,Mxra8os,Apol6,Ago4,Pyy,Cdc37,Sbno1,Gm4755,Hagh,Rpl37rt,AL592112.1,Olfr1047,H2-M11,Prss37,Mroh6,Igkv2-105,Fktn
4484,Tax1bp1,Cited1,Gm21680,Gm49060,Nup160,Gm5394,Leprotl1,Gm49502,Gm18159,Gm47378,Slc5a4a,Map3k7,Olfr178,Olfr432,Rxfp4,Ep400,Arhgap40,Slc38a10
4485,Gm45538,Gm13966,Acss3,AC102492.1,Gm12007,Mir547,Myh14,Gm22914,Gm14663,Gys1,Rbm6-ps2,Wrap53,Srp54a,Tcf21,Krtap17-1,Sft2d3,Gm14216,C430014B12Rik
4486,Col22a1,Tmem38b,Vmn2r-ps20,Gm28494,Gm47799,Gm26320,Ncam2,Gm47423,5430434I15Rik,Timmdc1,Gm30667,Tbx3os1,Adam6b,Vmn2r90,Qtrt1,Hist2h3c1,Gm16242,Gm7418
4487,Pibf1,Gm48880,Tmem102,Gm25692,Gm22508,Gm12661,Cog6,Gm4587,Gm29014,Gm23224,AC126031.1,Gm48918,Olfr92,Ifitm5,Zar1l,Nanos1,Gm47712,Gm44794
4488,Astn2,Gm49397,Gm43434,Tnfaip8,Ubtd1,Gm13536,Gm19066,Klhl36,Gm25987,Dnajc8,Ccdc39,Gm48056,Acnat1,Defb48,Cer1,Wars2,Gm25387,Gm49755
4489,Fst,Elavl4,Cdk9,Gm34256,Gm37692,Gm5955,Nploc4,Gm45828,Krt25,Gm44893,Zscan30,Gm35772,Olfr177,Khdc1b,AI837181,Zfp704,Nfat5,Nkiras2
4490,Obsl1,Gm6169,Gm6230,AC124012.1,Bbc3,Syt15,Gm3791,Msi1,Gm48672,Atxn7,Gm26176,Gm7904,Med31,Samt3,Tada2b,Spata2l,Gm14713,Gm31544
4491,Gm12871,Dlst,Cbln3,Gm49206,Pgpep1l,Pcdhb19,Stau1,4930554H23Rik,Gm26448,Gcfc2,Mrps6,Gm17529,Olfr1226,Olfr875,Serpina3b,Gm27671,Tgfb2,Gm28981
4492,Sec14l4,Ascl4,Gm18131,Pgam2,Gm47851,Gm14908,Tmem131l,Gm39384,Gm44897,Insm1,Noc2l,Gm5668,Hsd3b4,Dpm3,Mgat3,Zfp119a,Gm19027,Dusp23
4493,Gm43220,Spg11,Gm3919,Zfp62,Gm27471,Gm47019,1700030C14Rik,Ndufb2,Gm47623,Ado,N4bp3,Gm23010,Fgf6,2310039H08Rik,Ghrl,Zswim4,4930579D07Rik,AC169506.1
4494,Prkce,Rbm4,Atf7ip2,Anapc13,1700069L16Rik,Gm2075,Gm42141,Ppip5k1,6720489N17Rik,Osbpl5,Gm10051,Mir5619,Gm4737,Rhox5,Gm1587,Kcns1,Gm6702,Srcap
4495,Gm11252,A930001M01Rik,Tlr11,Zbtb6,AW554918,Gm49690,Arl6ip5,AC147020.3,Gm48026,Gm22461,Coro1b,Dedd,Ifi27l2b,Olfr616,Fth1,Tpi1,Ccdc152,Mir7067
4496,Gm48264,Gm26662,Olfr166,P4ha1,Gm47083,Apof,Ccnt2,Mir6403,Gm26968,Necab1,Ampd3,Dctn4,Krtap17-1,Lcmt2,Lrrn4,Gm3793,Olfr1355,Gm43908
4497,Gm43990,Mtmr11,Gm22951,Olfr985,Mlxipl,Rpl18,Fancc,Cdh22,Gm13008,Gm16343,Gdi1,Gm14011,Ccl8,Cyp2g1,Aqp2,Mark3,Gm18185,Gm24578
4498,Gm35933,Foxl2os,Mir208a,Gm10062,Ipo4,Creb3l1,Dnajb1,Gm5668,Gm8703,Gm25038,Zfp385b,Polrmt,Adam1b,Krtap19-4,Lamtor5,Tmem74b,Gm6502,Mtpn
4499,Zup1,Hcn3,Gm12754,Mcts1,AC125218.1,Htr6,Gm22249,Gstm2-ps1,Gm29257,Tpd52l1,Thpo,Akap9,Tcl1b5,Tbccd1,Ntrk1,Mir6374,Grip1os2,4930465K10Rik
4500,Gm46404,Gm23514,Pold2,Gm47011,Gm43527,Rtl8a,Ptprv,Tbc1d4,Gm47346,Gm26547,Rcor2,Smurf1,Olfr1148,Spink6,Wfdc11,Tmem254b,Emid1,Mir23a
4501,Dydc1,Gm47157,Fam83e,Tmeff1,Gyg,Gm26601,Stard8,Dyx1c1,Gm48775,4930538E20Rik,Rpl27-ps2,Gm20485,Olfr432,Trim29,Iqcf5,Ndufb7,Gm47507,Gm2639
4502,Tas2r138,Gm38563,Acoxl,Gm4332,Itga4,AC126942.1,Gm15509,Gm37935,Gm14798,Ints6l,Pdgfra,Gm48582,Olfr1278,Mmp1b,Mmp21,Gm45091,Olfr239,Gm15067
4503,AC117629.1,Gm29540,Tekt3,2810433D01Rik,Gnb1l,Gm43080,AC122252.3,Gm43926,Gm47557,Slc30a5,Ptpa,BC017158,Olfr421-ps1,Vmn2r24,Nkx1-2,Bop1,Gm7763,Gm14597
4504,Aplnr,Prkaa2,Vmn2r94,Gm18908,Mindy4,Trav9n-2,Gm16130,Zfyve9,Gm40689,Racgap1,Snrpa,Gstt2,H2-M11,Ferd3l,Shisa3,Mtag2,Gm48613,Lgals3bp
4505,Gm19757,Lbh,Arhgef16,Olfr250,Gm18064,Lmod2,Dpysl5,AI849053,Gm13587,Aptx,Gm18870,1700122D07Rik,Krt6b,Gabre,Isg20l2,Relt,Gm48928,Tpd52l1
4506,Sh3bp5l,Gm43051,Gm20679,Erc1,Cdh9,Gm26617,Cd209a,Zmynd19,Mir130b,Mfhas1,Gm49512,Gm46344,Hdgfl1,Gm11568,Abce1,A230083G16Rik,Myo15,Gm37803
4507,A830029E22Rik,Htr2b,1110015O18Rik,Nags,4930432L08Rik,Gm13413,5430430B14Rik,Cntln,4930589L23Rik,Anxa5,Gm27975,Card9,Urad,Gm5414,Msgn1,Tmem158,Gm7029,Ifnar1
4508,Igkv7-33,Tcea2,Mrgpra6,Gm47800,Smug1,B230311B06Rik,Gm48281,Gm16172,Ripk3,1700003M07Rik,Gstm2-ps1,Ap3s2,Slc25a5,Slc2a7,Zcchc3,Gm11502,Gm49372,Vim
4509,Mbtps1,Gm42898,Prss28,Clptm1l,Gimap1os,Gm16229,Cryba2,Rab3a,Gm26157,Nudt14,Cct5,Gm38292,Prss29,Klrg1,Gm5767,Dusp8,Srrm1,Gm13445
4510,Slc35f6,Gm38376,AC142213.5,Zscan4a,Cda,Gm45194,Ldlrad4,Colgalt1,D030062O11Rik,Lrrc27,Iltifb,Gm8822,Prdx6b,Cks1brt,Slc14a1,Gm10775,Zfp804b,Rrm2
4511,Ehf,Adgrf5,Cdrt4,Gm37319,Iglv1,CT030642.1,Lrp1,Mir6376,Gm48913,Tial1,Gm23701,Vis1,Klk14,Tent5b,Akr1c21,Ulk1,Vmn2r-ps54,Gm25982
4512,Meaf6,Vps39,Gm31600,Olfm2,Zfp939,Gm18398,Gm21971,Fus,Klk14,Gm47204,AC125122.2,Amotl1,Tex55,Rgs9bp,Acrbp,4933402D24Rik,Agmo,Sh3yl1
4513,Gm23260,Fam124b,C8g,Defa33,Trmo,Mir6368,Gm9898,Zfp654,Gm14425,Gm24341,Gm36033,Gm48126,Fibin,Tlr8,Acnat2,Slc2a4rg-ps,Gm44821,Gm49463
4514,Rab11fip5,Tfg,Gm47900,Kif20b,Gm14304,Gm48785,Hacl1,Atf3,Gm18342,Relt,Gm14273,Gm12582,Ccr4,Cldn34b2,Acaa1b,Stxbp2,Zdhhc17,Gm12223
4515,Atg10,Gm10714,Krtap21-1,Gm4451,Foxo3,Gm13521,4930590J08Rik,Xpa,Gm11255,Sema4d,Tom1,Gm45662,Olfr742,Tmem30b,Hbq1b,Slc35e4,Gm37329,2610002M06Rik
4516,Gm24402,Ptp4a2,Vmn1r228,Gm48931,Snora24,Ube2l3-ps1,Kpna6,Tcp11l2,Gm19032,Zswim1,Kif2a,Gm44320,Amy2a5,AW146154,Cpsf7,Gm17473,Gm27847,Nccrp1
4517,Lce1m,Gm6565,Fam228b,Gm42923,Gm45008,Gtf2a1l,Rsph1,Aldh5a1,Gm49106,Mir3081,Chchd10,Fam76a,Olfr1301,Sdad1,Ccl26,Gm26781,Ces3b,Gm20652
4518,Src,Gm9843,AL592112.1,Gm22339,Slc26a7,Gm16122,Gm25669,Haghl,Gm26362,Cdh10,Gm49200,Tmem247,Olfr491,Wdr43,Tnmd,Pkia,Hspa4l,Psmd3
4519,Tmpo,Inafm2,Gm22133,Rnf144b,E430024I08Rik,E130309D02Rik,Gm8818,Sept4,Aqp4,Ccar1,Nr2e1,Pfpl,Ear14,Guca1a,Cd209a,Osbpl8,Mbd5,Gm11377
4520,Vamp2,Gm48745,Gm44281,Ptges3-ps,Prkd3,Pof1b,Zfp454,Kmt5b,Gm44203,Gm42609,C030017D09Rik,Gm49670,4930595M18Rik,Trim38,F2r,Rbx1,Gm30228,Rpl8
4521,Gm11869,4833412C15Rik,Ppp1r36,Phox2b,Naa16,Mns1,Dnmt1,Gm43275,Gm45113,Mir7225,Crb2,Olfr1226,Mug2,Cdk13,Avp,Prpf38a,Col1a2,Rn7s2
4522,Ahctf1,Gm23065,Gm48837,Gm37093,Gm17911,Mir23b,Gm9395,Lamtor2,Vmn2r-ps62,Thsd4,4930538L07Rik,Gm27773,Slc25a32,Cidea,Spon2,Hax1,Gm47808,n-R5s101
4523,Dcun1d4,Mapre1,Olfr299,Hdac9,Gm12445,Pcdhb20,Ltbp3,Fhl4,Olfr702,Tgfbr3,Kbtbd13,Gm14542,Olfr1012,Smim9,Cma2,Tob1,Gm24987,Tldc1
4524,5730480H06Rik,AC126031.3,Nlrp4d,Mtss1l,Helz,Gm7008,Ube2l6,Ppp6r3,Gm43649,4930548K13Rik,Syngr1,Gm17147,Crabp1,Mup21,Pmaip1,Kcnh2,Gm24978,Aldh5a1
4525,Gm27236,Aida,AC134563.1,Gm45596,Pemt,Gm18310,Gm20476,Ascc1,Gm44371,Gm30034,Gm26653,Dctn3,Srarp,Olfr801,Hes3,Gm48692,Gm48417,AC121495.1
4526,Cab39l,Arf3,Gm20633,Gm9309,Sept5,Apool,Snhg11,Btbd6,Gm5099,Cnot1,4930453N24Rik,Gm8062,Lypd3,Gm8267,Upk1a,Ccdc106,Gm23272,Astx4a
4527,Peg13,Gm23816,Gm44545,Gm43698,Gm13383,Gm22768,Sh3tc1,Napg,Npvf,Rbms2,Cdpf1,Gm45723,Padi1,Olfr1272,Olfr222,Gtf3c6,Gm12017,Acsf2
4528,Rnf217,4933430H16Rik,Gm534,Kcnj16,Gm25781,Mir325,Cog7,Paip2b,Gm12055,Espn,Zrsr2,Coasy,Il27ra,Tssk5,Ptrh2,Selenoo,Gm14301,Gm25432
4529,1810007C17Rik,Dcaf1,Alox12,March10,Gm38141,Appbp2os,Gm45615,Gm15856,Gm25071,Fbxo9,BC049762,Kdelc2,Ffar3,Olfr102,Lipo2,Xpo7,Gm11814,Rps8
