,SF_IN,SF_EX,SF_NN,CU_IN,CU_EX,CU_NN,TA_IN,TA_EX,TA_NN,TN_IN,TN_EX,TN_NN,SM_EX_L2.3.IT,SM_EX_L5.6.NP,SM_EX_L5.ET,SM_EX_L5.IT,SM_EX_L6.CT,SM_EX_L6.IT.Car3,SM_EX_L6b,SM_IN_Lamp5,SM_IN_Pvalb,SM_IN_Sncg,SM_IN_Sst,SM_IN_Vip,SC_IN,SC_EX,SC_NN
18791,LOC105246142,Gm33501,Gm21029,,,,,,,,,,,,,,,,,,,,,,,,
18792,Gm10161,LOC105243283,Gm21031,,,,,,,,,,,,,,,,,,,,,,,,
18793,Cyp2d36-ps,Olfr585,Gm21032,,,,,,,,,,,,,,,,,,,,,,,,
18794,Gm8435,Olfr1105,Gm21033,,,,,,,,,,,,,,,,,,,,,,,,
18795,1700100I10Rik,Vmn2r-ps108,Gm21034,,,,,,,,,,,,,,,,,,,,,,,,
18796,Olfr544,Gm20814,Gm21035,,,,,,,,,,,,,,,,,,,,,,,,
18797,Npm3-ps1,Gm8980,Gm21036,,,,,,,,,,,,,,,,,,,,,,,,
18798,Gm36695,Gm35126,Gm21044,,,,,,,,,,,,,,,,,,,,,,,,
18799,Gm19206,LOC105242941,Gm21061,,,,,,,,,,,,,,,,,,,,,,,,
18800,LOC105244717,Gm32560,Gm21129,,,,,,,,,,,,,,,,,,,,,,,,
18801,Gm15334,Defb38,Gm21133,,,,,,,,,,,,,,,,,,,,,,,,
18802,Gm28380,Gm18237,Gm21135,,,,,,,,,,,,,,,,,,,,,,,,
18803,Mir7010,Gm34044,Gm21136,,,,,,,,,,,,,,,,,,,,,,,,
18804,H2-Ea-ps,Olfr568,Gm21142,,,,,,,,,,,,,,,,,,,,,,,,
18805,Gm14660,Gm35303,Gm21147,,,,,,,,,,,,,,,,,,,,,,,,
18806,Rhox4a,Gm11412,Gm2116,,,,,,,,,,,,,,,,,,,,,,,,
18807,Gm8774,Gm15519,Gm21162,,,,,,,,,,,,,,,,,,,,,,,,
18808,Gm5322,Gm33650,Gm21180,,,,,,,,,,,,,,,,,,,,,,,,
18809,Gm5522,LOC105246932,Gm21191,,,,,,,,,,,,,,,,,,,,,,,,
18810,Gm11752,Gkn2,Gm2123,,,,,,,,,,,,,,,,,,,,,,,,
18811,Gm12923,Gm7416,Gm21241,,,,,,,,,,,,,,,,,,,,,,,,
18812,Gm11350,Gm6321,Gm21242,,,,,,,,,,,,,,,,,,,,,,,,
18813,Gm31088,Gm5394,Gm21245,,,,,,,,,,,,,,,,,,,,,,,,
18814,Olfr215,Gm7370,Gm21248,,,,,,,,,,,,,,,,,,,,,,,,
18815,Gm18282,LOC105246318,Gm21276,,,,,,,,,,,,,,,,,,,,,,,,
18816,Gm34023,Mir3552,Gm21350,,,,,,,,,,,,,,,,,,,,,,,,
18817,1700072G22Rik,LOC102639653,Gm21379,,,,,,,,,,,,,,,,,,,,,,,,
18818,Gm12638,Gm6366,Gm21393,,,,,,,,,,,,,,,,,,,,,,,,
18819,Gm30341,LOC105245105,Gm21420,,,,,,,,,,,,,,,,,,,,,,,,
18820,Olfr1235-ps1,Gm13838,Gm21432,,,,,,,,,,,,,,,,,,,,,,,,
18821,4930571K23Rik,LOC105244996,Gm21461,,,,,,,,,,,,,,,,,,,,,,,,
18822,Gm5175,4930546C10Rik,Gm21466,,,,,,,,,,,,,,,,,,,,,,,,
18823,Mir6345,Mir6966,Gm21489,,,,,,,,,,,,,,,,,,,,,,,,
18824,Gm17737,Gm11661,Gm2150,,,,,,,,,,,,,,,,,,,,,,,,
18825,LOC105245691,Gm31845,Gm21513,,,,,,,,,,,,,,,,,,,,,,,,
18826,LOC105245164,LOC105245732,Gm21571,,,,,,,,,,,,,,,,,,,,,,,,
18827,Gm36389,Gm35610,Gm21620,,,,,,,,,,,,,,,,,,,,,,,,
18828,LOC105247210,Olfr885,Gm21647,,,,,,,,,,,,,,,,,,,,,,,,
18829,LOC105243697,Defb35,Gm21660,,,,,,,,,,,,,,,,,,,,,,,,
18830,Gm11920,LOC105245896,Gm21672,,,,,,,,,,,,,,,,,,,,,,,,
18831,Gm33889,4930571O06Rik,Gm21678,,,,,,,,,,,,,,,,,,,,,,,,
18832,LOC105244983,Gm7538,Gm21683,,,,,,,,,,,,,,,,,,,,,,,,
18833,Hoxb2,LOC105243067,Gm21720,,,,,,,,,,,,,,,,,,,,,,,,
18834,LOC102642976,Olfr870,Gm21729,,,,,,,,,,,,,,,,,,,,,,,,
18835,Gm8655,Gm18076,Gm21734,,,,,,,,,,,,,,,,,,,,,,,,
18836,LOC105246582,9230020A06Rik,Gm21737,,,,,,,,,,,,,,,,,,,,,,,,
18837,LOC102641841,Gm6888,Gm21749,,,,,,,,,,,,,,,,,,,,,,,,
18838,Gm11640,Hoxa10,Gm21754,,,,,,,,,,,,,,,,,,,,,,,,
18839,4930452A19Rik,Gm18924,Gm21756,,,,,,,,,,,,,,,,,,,,,,,,
18840,Gm18069,LOC105243395,Gm21758,,,,,,,,,,,,,,,,,,,,,,,,
18841,H2bfm,Cyp2d11,Gm21790,,,,,,,,,,,,,,,,,,,,,,,,
18842,Olfr923,LOC105244086,Gm21795,,,,,,,,,,,,,,,,,,,,,,,,
18843,LOC105244951,Gm7284,Gm21799,,,,,,,,,,,,,,,,,,,,,,,,
18844,Gm29748,LOC102633156,Gm21813,,,,,,,,,,,,,,,,,,,,,,,,
18845,Gm19223,Gm5750,Gm2182,,,,,,,,,,,,,,,,,,,,,,,,
18846,Klk1b27,Gm10312,Gm21825,,,,,,,,,,,,,,,,,,,,,,,,
18847,Olfr184-ps1,Gm5899,Gm21835,,,,,,,,,,,,,,,,,,,,,,,,
18848,Gm6322,Gm33215,Gm21845,,,,,,,,,,,,,,,,,,,,,,,,
18849,Gm11959,LOC105244216,Gm21871,,,,,,,,,,,,,,,,,,,,,,,,
18850,Gm36891,Cldn6,Gm21894,,,,,,,,,,,,,,,,,,,,,,,,
18851,Gm15302,Gm3867,Gm21896,,,,,,,,,,,,,,,,,,,,,,,,
18852,Gm33049,Gm18148,Gm21909,,,,,,,,,,,,,,,,,,,,,,,,
18853,Gm31658,Gm43069,Gm21910,,,,,,,,,,,,,,,,,,,,,,,,
18854,Gm8296,Pomc-ps1,Gm21928,,,,,,,,,,,,,,,,,,,,,,,,
18855,Il11,Immp2l,Gm21929,,,,,,,,,,,,,,,,,,,,,,,,
18856,Hoxb4,Gm36303,Gm21944,,,,,,,,,,,,,,,,,,,,,,,,
18857,Gm18086,Olfr1357,Gm21949,,,,,,,,,,,,,,,,,,,,,,,,
18858,LOC105243062,4930563H07Rik,Gm22109,,,,,,,,,,,,,,,,,,,,,,,,
18859,Gm15794,Gm21294,Gm22219,,,,,,,,,,,,,,,,,,,,,,,,
18860,Gm3744,Gm32840,Gm2229,,,,,,,,,,,,,,,,,,,,,,,,
18861,Gm8601,RP24-160N8.1,Gm22291,,,,,,,,,,,,,,,,,,,,,,,,
18862,Gm20749,Mir216a,Gm2233,,,,,,,,,,,,,,,,,,,,,,,,
18863,Gm20388,LOC105245466,Gm2250,,,,,,,,,,,,,,,,,,,,,,,,
18864,Gm8938,Slc24a5,Gm2260,,,,,,,,,,,,,,,,,,,,,,,,
18865,Adam30,Olfr537-ps1,Gm2274,,,,,,,,,,,,,,,,,,,,,,,,
18866,Gm13914,Amy2b,Gm2286,,,,,,,,,,,,,,,,,,,,,,,,
18867,4930535E02Rik,Gm3633,Gm2288,,,,,,,,,,,,,,,,,,,,,,,,
18868,Gm35303,Gm31545,Gm2307,,,,,,,,,,,,,,,,,,,,,,,,
18869,Gm4035,Mir6997,Gm2314,,,,,,,,,,,,,,,,,,,,,,,,
18870,Gm7701,LOC105242615,Gm2318,,,,,,,,,,,,,,,,,,,,,,,,
18871,Mir7091,Bhmt-ps1,Gm2325,,,,,,,,,,,,,,,,,,,,,,,,
18872,Gm15386,Scarna10,Gm23284,,,,,,,,,,,,,,,,,,,,,,,,
18873,Gm9577,Mir693,Gm2336,,,,,,,,,,,,,,,,,,,,,,,,
18874,LOC101056056,1700026L06Rik,Gm2346,,,,,,,,,,,,,,,,,,,,,,,,
18875,Gm29806,Gm30753,Gm2352,,,,,,,,,,,,,,,,,,,,,,,,
18876,Gm21026,Olfr122,Gm2360,,,,,,,,,,,,,,,,,,,,,,,,
18877,Gm19164,Gm31532,Gm2361,,,,,,,,,,,,,,,,,,,,,,,,
18878,Gm32962,Cabs1,Gm2452,,,,,,,,,,,,,,,,,,,,,,,,
18879,Gm35093,Gm14554,Gm2457,,,,,,,,,,,,,,,,,,,,,,,,
18880,Gm8083,Tmem225,Gm25018,,,,,,,,,,,,,,,,,,,,,,,,
18881,Gm18313,Olfr534-ps1,Gm25212,,,,,,,,,,,,,,,,,,,,,,,,
18882,Gm36622,Gm18246,Gm2544,,,,,,,,,,,,,,,,,,,,,,,,
18883,Gm19709,Gm29053,Gm26391,,,,,,,,,,,,,,,,,,,,,,,,
18884,LOC105242446,LOC105245937,Gm2649,,,,,,,,,,,,,,,,,,,,,,,,
18885,Gm19311,Gm8948,Gm2691,,,,,,,,,,,,,,,,,,,,,,,,
18886,Gm28872,Mir5110,Gm27150,,,,,,,,,,,,,,,,,,,,,,,,
18887,Gm31209,LOC105244814,Gm2719,,,,,,,,,,,,,,,,,,,,,,,,
18888,Gm19599,LOC102641836,Gm27228,,,,,,,,,,,,,,,,,,,,,,,,
18889,LOC105243610,LOC105242605,Gm2759,,,,,,,,,,,,,,,,,,,,,,,,
18890,Ang4,Gm14608,Gm28090,,,,,,,,,,,,,,,,,,,,,,,,
18891,Gm2404,Gm9857,Gm28165,,,,,,,,,,,,,,,,,,,,,,,,
18892,Gm3605,Gm5084,Gm28185,,,,,,,,,,,,,,,,,,,,,,,,
18893,Gm18645,Gm43101,Gm28219,,,,,,,,,,,,,,,,,,,,,,,,
18894,Gm18778,1700124M09Rik,Gm28255,,,,,,,,,,,,,,,,,,,,,,,,
18895,Gm7761,LOC105245259,Gm28368,,,,,,,,,,,,,,,,,,,,,,,,
18896,Gm13728,LOC105244999,Gm2837,,,,,,,,,,,,,,,,,,,,,,,,
18897,Gm19179,Gm15056,Gm28377,,,,,,,,,,,,,,,,,,,,,,,,
18898,Gm20838,Cyp24a1,Gm28384,,,,,,,,,,,,,,,,,,,,,,,,
18899,Apoc1,Gm4872,Gm28397,,,,,,,,,,,,,,,,,,,,,,,,
18900,Gm7739,Gm18500,Gm28408,,,,,,,,,,,,,,,,,,,,,,,,
18901,Tex19.1,LOC102636530,Gm28423,,,,,,,,,,,,,,,,,,,,,,,,
18902,Gm7148,LOC105246612,Gm28504,,,,,,,,,,,,,,,,,,,,,,,,
18903,1700116B05Rik,Gm6035,Gm28542,,,,,,,,,,,,,,,,,,,,,,,,
18904,Gm6121,Gm13444,Gm28574,,,,,,,,,,,,,,,,,,,,,,,,
18905,Gm16574,Gm30217,Gm28596,,,,,,,,,,,,,,,,,,,,,,,,
18906,4930533D04Rik,Gm21173,Gm2860,,,,,,,,,,,,,,,,,,,,,,,,
18907,LOC105245282,LOC105246290,Gm28645,,,,,,,,,,,,,,,,,,,,,,,,
18908,Gm21007,LOC105246690,Gm28657,,,,,,,,,,,,,,,,,,,,,,,,
18909,Ywhaq-ps2,Gm21679,Gm28678,,,,,,,,,,,,,,,,,,,,,,,,
18910,Vmn1r85,LOC105243775,Gm28682,,,,,,,,,,,,,,,,,,,,,,,,
18911,Gm29396,Gm7280,Gm28699,,,,,,,,,,,,,,,,,,,,,,,,
18912,LOC105243966,Gm839,Gm28716,,,,,,,,,,,,,,,,,,,,,,,,
18913,Vmn1r218,Gm20040,Gm28738,,,,,,,,,,,,,,,,,,,,,,,,
18914,Gm16441,Gm33201,Gm28739,,,,,,,,,,,,,,,,,,,,,,,,
18915,Gm2016,Gm8575,Gm28837,,,,,,,,,,,,,,,,,,,,,,,,
18916,1700040F17Rik,Gm11399,Gm28840,,,,,,,,,,,,,,,,,,,,,,,,
18917,4930578N18Rik,Gm16686,Gm28871,,,,,,,,,,,,,,,,,,,,,,,,
18918,Gm8588,Gm31023,Gm28877,,,,,,,,,,,,,,,,,,,,,,,,
18919,Gm33892,Gm8358,Gm28996,,,,,,,,,,,,,,,,,,,,,,,,
18920,LOC102632476,Gm11723,Gm29024,,,,,,,,,,,,,,,,,,,,,,,,
18921,Mir6989,Vmn2r52,Gm29029,,,,,,,,,,,,,,,,,,,,,,,,
18922,Gm7595,Gm5354,Gm29062,,,,,,,,,,,,,,,,,,,,,,,,
18923,Gm33715,LOC105246709,Gm29073,,,,,,,,,,,,,,,,,,,,,,,,
18924,Gm12609,Mir7012,Gm29142,,,,,,,,,,,,,,,,,,,,,,,,
18925,Olfr710,Gm19444,Gm2915,,,,,,,,,,,,,,,,,,,,,,,,
18926,Gm31148,Gm32852,Gm29165,,,,,,,,,,,,,,,,,,,,,,,,
18927,Gm18207,Vmn1r-ps67,Gm29181,,,,,,,,,,,,,,,,,,,,,,,,
18928,Dcpp3,Gh,Gm29211,,,,,,,,,,,,,,,,,,,,,,,,
18929,Fbxw23,Gm30782,Gm29249,,,,,,,,,,,,,,,,,,,,,,,,
18930,LOC105244781,6030469F06Rik,Gm29258,,,,,,,,,,,,,,,,,,,,,,,,
18931,Mir3107,Arhgap27,Gm29319,,,,,,,,,,,,,,,,,,,,,,,,
18932,Gm8782,Rpl26-ps2,Gm29354,,,,,,,,,,,,,,,,,,,,,,,,
18933,Gm29743,Gm18832,Gm29382,,,,,,,,,,,,,,,,,,,,,,,,
18934,Gm9288,Gm33140,Gm29411,,,,,,,,,,,,,,,,,,,,,,,,
18935,Gm10637,LOC105244898,Gm29412,,,,,,,,,,,,,,,,,,,,,,,,
18936,Olfr1343-ps1,Gm32107,Gm2947,,,,,,,,,,,,,,,,,,,,,,,,
18937,Gm14914,Fkbp1a-ps3,Gm29495,,,,,,,,,,,,,,,,,,,,,,,,
18938,Gm18586,Gm35439,Gm29503,,,,,,,,,,,,,,,,,,,,,,,,
18939,9130001E16Rik,Gm36740,Gm29545,,,,,,,,,,,,,,,,,,,,,,,,
18940,1700013D24Rik,Spata31,Gm29559,,,,,,,,,,,,,,,,,,,,,,,,
18941,Gm42682,LOC105244872,Gm2959,,,,,,,,,,,,,,,,,,,,,,,,
18942,Gm6244,Gm18275,Gm29627,,,,,,,,,,,,,,,,,,,,,,,,
18943,AA543401,Mir679,Gm29634,,,,,,,,,,,,,,,,,,,,,,,,
18944,Scgb2b20,Gm13441,Gm29637,,,,,,,,,,,,,,,,,,,,,,,,
18945,Gm34733,LOC105245204,Gm29647,,,,,,,,,,,,,,,,,,,,,,,,
18946,Gm8956,LOC105243052,Gm29659,,,,,,,,,,,,,,,,,,,,,,,,
18947,Gm6346,Gm2651,Gm29688,,,,,,,,,,,,,,,,,,,,,,,,
18948,Gm5948,Gm31640,Gm29691,,,,,,,,,,,,,,,,,,,,,,,,
18949,Vmn1r-ps150,Gm7912,Gm29696,,,,,,,,,,,,,,,,,,,,,,,,
18950,Gm7570,Gm7768,Gm29713,,,,,,,,,,,,,,,,,,,,,,,,
18951,Gm4880,LOC102641483,Gm29740,,,,,,,,,,,,,,,,,,,,,,,,
18952,LOC105244846,Gm36044,Gm29742,,,,,,,,,,,,,,,,,,,,,,,,
18953,Gm6587,Rhox4e,Gm29764,,,,,,,,,,,,,,,,,,,,,,,,
18954,Gm5995,Klrb1c,Gm29766,,,,,,,,,,,,,,,,,,,,,,,,
18955,Slc16a8,Gm14371,Gm2977,,,,,,,,,,,,,,,,,,,,,,,,
18956,Gm11789,Krtap4-1,Gm29801,,,,,,,,,,,,,,,,,,,,,,,,
18957,Gm12668,9230114J08Rik,Gm29802,,,,,,,,,,,,,,,,,,,,,,,,
18958,Gm35078,4930559C10Rik,Gm29813,,,,,,,,,,,,,,,,,,,,,,,,
18959,Gm6621,LOC105245741,Gm29823,,,,,,,,,,,,,,,,,,,,,,,,
18960,LOC102634733,LOC105244382,Gm29836,,,,,,,,,,,,,,,,,,,,,,,,
18961,Api5-ps,LOC105244764,Gm29843,,,,,,,,,,,,,,,,,,,,,,,,
18962,Mcpt2,Gm18673,Gm29845,,,,,,,,,,,,,,,,,,,,,,,,
18963,Gm9098,Gm13191,Gm29851,,,,,,,,,,,,,,,,,,,,,,,,
18964,Gm30446,Gm35467,Gm29854,,,,,,,,,,,,,,,,,,,,,,,,
18965,Gm7126,Gm7970,Gm29859,,,,,,,,,,,,,,,,,,,,,,,,
18966,Gm13812,Rpl48-ps1,Gm29864,,,,,,,,,,,,,,,,,,,,,,,,
18967,Gm8569,Spag17os,Gm2987,,,,,,,,,,,,,,,,,,,,,,,,
18968,Gm16085,Gm33631,Gm29870,,,,,,,,,,,,,,,,,,,,,,,,
18969,LOC105242632,Myl7,Gm29872,,,,,,,,,,,,,,,,,,,,,,,,
18970,LOC105244787,Gm14641,Gm29878,,,,,,,,,,,,,,,,,,,,,,,,
18971,Cysrt1,LOC105242603,Gm29889,,,,,,,,,,,,,,,,,,,,,,,,
18972,Ffar1,Cyp3a63-ps,Gm29895,,,,,,,,,,,,,,,,,,,,,,,,
18973,Mir3108,Olfr786,Gm29909,,,,,,,,,,,,,,,,,,,,,,,,
18974,Gm3530,Gm14902,Gm29922,,,,,,,,,,,,,,,,,,,,,,,,
18975,LOC105247099,LOC101055960,Gm29950,,,,,,,,,,,,,,,,,,,,,,,,
18976,9130209A04Rik,Gm14440,Gm29959,,,,,,,,,,,,,,,,,,,,,,,,
18977,LOC105242407,Gm7168,Gm29964,,,,,,,,,,,,,,,,,,,,,,,,
18978,Gm14103,Gm32020,Gm30001,,,,,,,,,,,,,,,,,,,,,,,,
18979,Gm44077,Gm17535,Gm30009,,,,,,,,,,,,,,,,,,,,,,,,
18980,4930540M05Rik,LOC105246606,Gm30011,,,,,,,,,,,,,,,,,,,,,,,,
18981,Gm19949,Gm6048,Gm30016,,,,,,,,,,,,,,,,,,,,,,,,
18982,Gm35407,Gm31025,Gm30047,,,,,,,,,,,,,,,,,,,,,,,,
18983,Bmp10,Rhox7b,Gm30052,,,,,,,,,,,,,,,,,,,,,,,,
18984,Olfr737-ps1,Mir672,Gm30059,,,,,,,,,,,,,,,,,,,,,,,,
18985,Gm7189,Napg,Gm30083,,,,,,,,,,,,,,,,,,,,,,,,
18986,Gm12904,Defb13,Gm30095,,,,,,,,,,,,,,,,,,,,,,,,
18987,Gm14895,1700081H04Rik,Gm30115,,,,,,,,,,,,,,,,,,,,,,,,
18988,Gm30915,Gm8178,Gm30126,,,,,,,,,,,,,,,,,,,,,,,,
18989,1700012L04Rik,Gm32644,Gm30132,,,,,,,,,,,,,,,,,,,,,,,,
18990,Olfr940-ps1,Olfr76,Gm30143,,,,,,,,,,,,,,,,,,,,,,,,
18991,Gm12192,Gm12493,Gm30168,,,,,,,,,,,,,,,,,,,,,,,,
18992,Mir7081,Gm42476,Gm3017,,,,,,,,,,,,,,,,,,,,,,,,
18993,Gm6174,Gm14806,Gm30190,,,,,,,,,,,,,,,,,,,,,,,,
18994,Gm2310,Rps12-ps5,Gm30192,,,,,,,,,,,,,,,,,,,,,,,,
18995,Olfr1002,Gm8722,Gm30206,,,,,,,,,,,,,,,,,,,,,,,,
18996,Gm17882,Gm4930,Gm30224,,,,,,,,,,,,,,,,,,,,,,,,
18997,Vmn2r-ps94,Gm18453,Gm30275,,,,,,,,,,,,,,,,,,,,,,,,
18998,LOC105246936,RP23-95K12.13,Gm30288,,,,,,,,,,,,,,,,,,,,,,,,
18999,Gm31713,Tnfrsf14,Gm30309,,,,,,,,,,,,,,,,,,,,,,,,
19000,Gm6798,Gm20241,Gm30318,,,,,,,,,,,,,,,,,,,,,,,,
19001,Gm44272,Trim44,Gm3032,,,,,,,,,,,,,,,,,,,,,,,,
19002,Gm33407,Gm11514,Gm30320,,,,,,,,,,,,,,,,,,,,,,,,
19003,Gm27231,Gm6789,Gm30330,,,,,,,,,,,,,,,,,,,,,,,,
19004,LOC105243876,Gm5690,Gm30333,,,,,,,,,,,,,,,,,,,,,,,,
19005,Gm6096,Gm13478,Gm30342,,,,,,,,,,,,,,,,,,,,,,,,
19006,Gm14854,Gm34545,Gm30355,,,,,,,,,,,,,,,,,,,,,,,,
19007,Olfr944,LOC105242658,Gm30392,,,,,,,,,,,,,,,,,,,,,,,,
19008,LOC105244629,Gm9051,Gm3040,,,,,,,,,,,,,,,,,,,,,,,,
19009,RP23-144N15.7,9530034A14Rik,Gm30403,,,,,,,,,,,,,,,,,,,,,,,,
19010,9430019J16Rik,Gm21041,Gm30405,,,,,,,,,,,,,,,,,,,,,,,,
19011,Gm16280,Gm3549,Gm30417,,,,,,,,,,,,,,,,,,,,,,,,
19012,Gm4842,Gm35615,Gm30432,,,,,,,,,,,,,,,,,,,,,,,,
19013,Gm29747,Gm19076,Gm30443,,,,,,,,,,,,,,,,,,,,,,,,
19014,Gm35710,Vmn2r-ps44,Gm30454,,,,,,,,,,,,,,,,,,,,,,,,
19015,Gm28721,Gm9095,Gm30520,,,,,,,,,,,,,,,,,,,,,,,,
19016,LOC102640327,Olfr544,Gm30530,,,,,,,,,,,,,,,,,,,,,,,,
19017,Aadac,LOC105246590,Gm30537,,,,,,,,,,,,,,,,,,,,,,,,
19018,Gm14802,LOC105246868,Gm30589,,,,,,,,,,,,,,,,,,,,,,,,
19019,LOC105246743,Gm18796,Gm30603,,,,,,,,,,,,,,,,,,,,,,,,
19020,Izumo3,6030426L16Rik,Gm30608,,,,,,,,,,,,,,,,,,,,,,,,
19021,4930555G01Rik,Gm33482,Gm30615,,,,,,,,,,,,,,,,,,,,,,,,
19022,Olfr17,Scrn1,Gm30658,,,,,,,,,,,,,,,,,,,,,,,,
19023,LOC105247011,LOC105242986,Gm30662,,,,,,,,,,,,,,,,,,,,,,,,
19024,Gm7982,Vmn2r14,Gm30676,,,,,,,,,,,,,,,,,,,,,,,,
19025,Gm34317,LOC105242538,Gm30701,,,,,,,,,,,,,,,,,,,,,,,,
19026,1700042G07Rik,Dck,Gm30707,,,,,,,,,,,,,,,,,,,,,,,,
19027,Gm11482,Gm34642,Gm30714,,,,,,,,,,,,,,,,,,,,,,,,
19028,Gm18013,Gm11829,Gm30757,,,,,,,,,,,,,,,,,,,,,,,,
19029,LOC102642034,Vmn1r55,Gm30804,,,,,,,,,,,,,,,,,,,,,,,,
19030,Gm32802,Gm35440,Gm30828,,,,,,,,,,,,,,,,,,,,,,,,
19031,RP23-407E22.1,LOC105244034,Gm30833,,,,,,,,,,,,,,,,,,,,,,,,
19032,Gm29809,Vmn2r16,Gm30849,,,,,,,,,,,,,,,,,,,,,,,,
19033,Gm9361,Gm14267,Gm30861,,,,,,,,,,,,,,,,,,,,,,,,
19034,Hist1h2bk,1700029P11Rik,Gm30863,,,,,,,,,,,,,,,,,,,,,,,,
19035,Gm34960,Gm18759,Gm30880,,,,,,,,,,,,,,,,,,,,,,,,
19036,Gm4903,Rpl27a-ps1,Gm3089,,,,,,,,,,,,,,,,,,,,,,,,
19037,4930412O13Rik,Gm8625,Gm30907,,,,,,,,,,,,,,,,,,,,,,,,
19038,Taar2,Gm6436,Gm30912,,,,,,,,,,,,,,,,,,,,,,,,
19039,Gm31704,Gm11842,Gm30925,,,,,,,,,,,,,,,,,,,,,,,,
19040,1700042D02Rik,Bpifb9a,Gm30926,,,,,,,,,,,,,,,,,,,,,,,,
19041,LOC102635893,Olfr1355,Gm30957,,,,,,,,,,,,,,,,,,,,,,,,
19042,Gm7929,Olfr1217,Gm30960,,,,,,,,,,,,,,,,,,,,,,,,
19043,Gm13192,Gm21095,Gm30962,,,,,,,,,,,,,,,,,,,,,,,,
19044,Gm4463,Rps19-ps7,Gm30996,,,,,,,,,,,,,,,,,,,,,,,,
19045,LOC105247271,Gm15026,Gm31017,,,,,,,,,,,,,,,,,,,,,,,,
19046,Snrp1c-ps2,Gm35010,Gm31022,,,,,,,,,,,,,,,,,,,,,,,,
19047,LOC102636231,Krt35,Gm3103,,,,,,,,,,,,,,,,,,,,,,,,
19048,Vmn1r13,4930477E14Rik,Gm31048,,,,,,,,,,,,,,,,,,,,,,,,
19049,Gm3637,Gm19052,Gm31058,,,,,,,,,,,,,,,,,,,,,,,,
19050,Gm18578,Gm13017,Gm31061,,,,,,,,,,,,,,,,,,,,,,,,
19051,Mir6988,Klk1,Gm31063,,,,,,,,,,,,,,,,,,,,,,,,
19052,Gm13658,Gm5218,Gm31067,,,,,,,,,,,,,,,,,,,,,,,,
19053,Gm31076,Gm9312,Gm31072,,,,,,,,,,,,,,,,,,,,,,,,
19054,Gm6369,Gm30344,Gm31091,,,,,,,,,,,,,,,,,,,,,,,,
19055,Gm15294,Gm19212,Gm31114,,,,,,,,,,,,,,,,,,,,,,,,
19056,Olfr860,Gm34185,Gm31140,,,,,,,,,,,,,,,,,,,,,,,,
19057,Gm15388,Snord116,Gm31164,,,,,,,,,,,,,,,,,,,,,,,,
19058,Gm43358,Gm32144,Gm31180,,,,,,,,,,,,,,,,,,,,,,,,
19059,Gm14125,Pou4f2,Gm31183,,,,,,,,,,,,,,,,,,,,,,,,
19060,Gm43821,Gm9047,Gm31202,,,,,,,,,,,,,,,,,,,,,,,,
19061,Gm19092,Gm33162,Gm31217,,,,,,,,,,,,,,,,,,,,,,,,
19062,Miox,Gm42681,Gm31221,,,,,,,,,,,,,,,,,,,,,,,,
19063,LOC105243080,Ms4a3,Gm31237,,,,,,,,,,,,,,,,,,,,,,,,
19064,Gm15318,Gm14746,Gm31250,,,,,,,,,,,,,,,,,,,,,,,,
19065,LOC105243024,Gm35279,Gm31254,,,,,,,,,,,,,,,,,,,,,,,,
19066,LOC105244987,Gm12298,Gm31260,,,,,,,,,,,,,,,,,,,,,,,,
19067,Olfr898,LOC105244465,Gm31285,,,,,,,,,,,,,,,,,,,,,,,,
19068,Gm34783,Gm18696,Gm31307,,,,,,,,,,,,,,,,,,,,,,,,
19069,LOC105246341,Ctrcos,Gm3131,,,,,,,,,,,,,,,,,,,,,,,,
19070,Gm21631,Gm14659,Gm31384,,,,,,,,,,,,,,,,,,,,,,,,
19071,LOC105244257,Rbbp8nl,Gm31401,,,,,,,,,,,,,,,,,,,,,,,,
19072,Amy2a1,Abhd16b,Gm31417,,,,,,,,,,,,,,,,,,,,,,,,
19073,Mir7062,Gm6759,Gm31420,,,,,,,,,,,,,,,,,,,,,,,,
19074,Gm34647,Gm12310,Gm31421,,,,,,,,,,,,,,,,,,,,,,,,
19075,Vmn1r25,Mir7089,Gm31430,,,,,,,,,,,,,,,,,,,,,,,,
19076,Gm9285,Gm8109,Gm31457,,,,,,,,,,,,,,,,,,,,,,,,
19077,Gm33296,Gm30886,Gm31463,,,,,,,,,,,,,,,,,,,,,,,,
19078,Gm3453,LOC105244194,Gm31472,,,,,,,,,,,,,,,,,,,,,,,,
19079,Gm9563,Gm12690,Gm31476,,,,,,,,,,,,,,,,,,,,,,,,
19080,LOC102639731,Mir7028,Gm31483,,,,,,,,,,,,,,,,,,,,,,,,
19081,Matr3-ps2,Mir184,Gm31511,,,,,,,,,,,,,,,,,,,,,,,,
19082,LOC105245604,Gm12107,Gm31534,,,,,,,,,,,,,,,,,,,,,,,,
19083,Gm34613,Gm26515,Gm31542,,,,,,,,,,,,,,,,,,,,,,,,
19084,Gm5217,Gm33527,Gm31544,,,,,,,,,,,,,,,,,,,,,,,,
19085,Gm19091,Gm8596,Gm31556,,,,,,,,,,,,,,,,,,,,,,,,
19086,Mir6405,Gm32954,Gm31565,,,,,,,,,,,,,,,,,,,,,,,,
19087,Gm7906,Gm7633,Gm3157,,,,,,,,,,,,,,,,,,,,,,,,
